trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-31.208124889958,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-23.188670935368368,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",35,0,-18.320177440760478,"{0: 33, 1: 0, 2: 0, 3: 2, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-13.352192380073316,"{0: 23, 1: 0, 2: 0, 3: 2, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,24.28826228293851,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-55.578003691379955,"{0: 21, 1: 0, 2: 0, 3: 4, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,4.889101010771572,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",30,0,-19.459542859283708,"{0: 28, 1: 0, 2: 0, 3: 2, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-25.248160638330546,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,23.542881826824942,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,0.6519409455525071,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-20.237895079683497,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-28.283693514081456,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-7.716489180386709,"{0: 23, 1: 0, 2: 0, 3: 2, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,21.44287478872974,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-18.124983935335553,"{0: 23, 1: 0, 2: 0, 3: 2, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,10.959797375110181,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-22.088905743177243,"{0: 23, 1: 0, 2: 0, 3: 2, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-66.90091699427049,"{0: 16, 1: 0, 2: 0, 3: 4, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-1.0725009180486995,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-29.85257014496003,"{0: 23, 1: 0, 2: 0, 3: 2, 4: 0}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,26.130307412790916,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-14.092691095144533,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",30,0,27.825646273352216,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-46.57569873520219,"{0: 17, 1: 0, 2: 0, 3: 3, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-20.784371797206582,"{0: 23, 1: 0, 2: 0, 3: 2, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-47.454680722728774,"{0: 17, 1: 0, 2: 0, 3: 3, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-5.169350879024104,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-45.296655824222455,"{0: 17, 1: 0, 2: 0, 3: 3, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",30,0,-19.313700672709817,"{0: 28, 1: 0, 2: 0, 3: 2, 4: 0}",0
